DataYear,BuildingType,PrimaryPropertyType,Latitude,Longitude,NumberofBuildings,PropertyGFATotal,PropertyGFAParking,LargestPropertyUseType,SiteEnergyUse(kBtu),TotalGHGEmissions,BuildingAge,mean_GFA_per_floor,Number_of_Use_Types
2016,Nonresidential COS,Other,47.62208,-122.35398,1.0,91213,0,Other,8141155.5,344.2,54,45606.5,1
2016,Nonresidential COS,Other,47.62395,-122.35077,1.0,52000,0,Other,2726369.0,101.83,54,17333.333333333332,1
2016,Nonresidential COS,Other,47.62395,-122.35077,1.0,60696,0,Other,875943.3125,6.11,88,30348.0,1
2016,Nonresidential COS,Other,47.62395,-122.35143,1.0,262048,0,Other,20723248.0,490.73,88,87349.33333333333,1
2016,NonResidential,Small- and Mid-Sized Office,47.62391,-122.34837,0.0,66240,2352,Office,4166306.25,29.04,30,21296.0,5
2016,NonResidential,Small- and Mid-Sized Office,47.62053,-122.35842,1.0,76213,25930,Office,3476212.5,48.76,46,10056.6,3
2016,NonResidential,Hotel,47.62291,-122.35708,1.0,96910,36934,Hotel,5155568.5,152.14,14,8568.0,2
2016,NonResidential,Hotel,47.65772,-122.31756,2.0,50017,0,Hotel,5448975.0,191.2,54,10003.4,2
2016,NonResidential,K-12 School,47.62548,-122.30828,1.0,67743,0,K-12 School,2646879.0,78.85,93,16935.75,1
2016,NonResidential,K-12 School,47.62644,-122.30429,1.0,194104,0,K-12 School,6219841.5,243.23,108,27729.14285714286,1
2016,NonResidential,Small- and Mid-Sized Office,47.58408,-122.30125,1.0,99433,35752,Office,4897760.0,34.14,13,15920.25,2
2016,NonResidential,Other,47.67524,-122.31534,1.0,56521,0,Other,6357632.0,44.32,75,11304.2,1
2016,NonResidential,Other,47.67559,-122.31769,1.0,206934,0,Other,4253577.5,133.58,87,68978.0,2
2016,NonResidential,Hotel,47.73141,-122.3458,1.0,51390,0,Hotel,3611538.0,127.29,15,10278.0,2
2016,SPS-District K-12,K-12 School,47.7257,-122.33684,1.0,245587,0,K-12 School,11765682.0,443.73,57,122793.5,1
2016,NonResidential,Hotel,47.72551,-122.3423,1.0,69138,0,Hotel,3242458.0,89.02,14,17284.5,1
2016,NonResidential,Hotel,47.6048,-122.3368,1.0,190980,0,Hotel,6505995.0,142.39,112,31830.0,2
2016,Nonresidential COS,Other,47.60804,-122.3367,1.0,284100,0,Other - Entertainment/Public Assembly,14641502.0,429.12,18,40585.71428571428,1
2016,Nonresidential COS,Other,47.60112,-122.32785,1.0,61156,0,Other,9363374.0,176.75,10,12231.2,2
2016,NonResidential,Other,47.59809,-122.32283,1.0,72820,13820,Museum,2010454.625,46.26,106,11800.0,1
2016,NonResidential,Hotel,47.62614,-122.3467,1.0,162222,14200,Hotel,7946961.0,228.4,20,29604.4,2
2016,NonResidential,University,47.61495,-122.32177,1.0,63330,0,College/University,3059758.0,74.33,101,15832.5,1
